"id","hs6"
"01010111","010111"
"01010119","010119"
"01010120","010120"
"01010210","010210"
"01010290","010290"
"01010310","010310"
"01010391","010391"
"01010392","010392"
"01010410","010410"
"01010420","010420"
"01010511","010511"
"01010519","010519"
"01010591","010591"
"01010599","010599"
"01010600","010600"
"01020110","020110"
"01020120","020120"
"01020130","020130"
"01020210","020210"
"01020220","020220"
"01020230","020230"
"01020311","020311"
"01020312","020312"
"01020319","020319"
"01020321","020321"
"01020322","020322"
"01020329","020329"
"01020410","020410"
"01020421","020421"
"01020422","020422"
"01020423","020423"
"01020430","020430"
"01020441","020441"
"01020442","020442"
"01020443","020443"
"01020450","020450"
"01020500","020500"
"01020610","020610"
"01020621","020621"
"01020622","020622"
"01020629","020629"
"01020630","020630"
"01020641","020641"
"01020649","020649"
"01020680","020680"
"01020690","020690"
"01020710","020710"
"01020721","020721"
"01020722","020722"
"01020723","020723"
"01020731","020731"
"01020739","020739"
"01020741","020741"
"01020742","020742"
"01020743","020743"
"01020750","020750"
"01020810","020810"
"01020820","020820"
"01020890","020890"
"01020900","020900"
"01021011","021011"
"01021012","021012"
"01021019","021019"
"01021020","021020"
"01021090","021090"
"01030110","030110"
"01030191","030191"
"01030192","030192"
"01030193","030193"
"01030199","030199"
"01030211","030211"
"01030212","030212"
"01030219","030219"
"01030221","030221"
"01030222","030222"
"01030223","030223"
"01030229","030229"
"01030231","030231"
"01030232","030232"
"01030233","030233"
"01030239","030239"
"01030240","030240"
"01030250","030250"
"01030261","030261"
"01030262","030262"
"01030263","030263"
"01030264","030264"
"01030265","030265"
"01030266","030266"
"01030269","030269"
"01030270","030270"
"01030310","030310"
"01030321","030321"
"01030322","030322"
"01030329","030329"
"01030331","030331"
"01030332","030332"
"01030333","030333"
"01030339","030339"
"01030341","030341"
"01030342","030342"
"01030343","030343"
"01030349","030349"
"01030350","030350"
"01030360","030360"
"01030371","030371"
"01030372","030372"
"01030373","030373"
"01030374","030374"
"01030375","030375"
"01030376","030376"
"01030377","030377"
"01030378","030378"
"01030379","030379"
"01030380","030380"
"01030410","030410"
"01030420","030420"
"01030490","030490"
"01030510","030510"
"01030520","030520"
"01030530","030530"
"01030541","030541"
"01030542","030542"
"01030549","030549"
"01030551","030551"
"01030559","030559"
"01030561","030561"
"01030562","030562"
"01030563","030563"
"01030569","030569"
"01030611","030611"
"01030612","030612"
"01030613","030613"
"01030614","030614"
"01030619","030619"
"01030621","030621"
"01030622","030622"
"01030623","030623"
"01030624","030624"
"01030629","030629"
"01030710","030710"
"01030721","030721"
"01030729","030729"
"01030731","030731"
"01030739","030739"
"01030741","030741"
"01030749","030749"
"01030751","030751"
"01030759","030759"
"01030760","030760"
"01030791","030791"
"01030799","030799"
"01040110","040110"
"01040120","040120"
"01040130","040130"
"01040210","040210"
"01040221","040221"
"01040229","040229"
"01040291","040291"
"01040299","040299"
"01040310","040310"
"01040390","040390"
"01040410","040410"
"01040490","040490"
"01040500","040500"
"01040610","040610"
"01040620","040620"
"01040630","040630"
"01040640","040640"
"01040690","040690"
"01040700","040700"
"01040811","040811"
"01040819","040819"
"01040891","040891"
"01040899","040899"
"01040900","040900"
"01041000","041000"
"01050100","050100"
"01050210","050210"
"01050290","050290"
"01050300","050300"
"01050400","050400"
"01050510","050510"
"01050590","050590"
"01050610","050610"
"01050690","050690"
"01050710","050710"
"01050790","050790"
"01050800","050800"
"01050900","050900"
"01051000","051000"
"01051110","051110"
"01051191","051191"
"01051199","051199"
"02060110","060110"
"02060120","060120"
"02060210","060210"
"02060220","060220"
"02060230","060230"
"02060240","060240"
"02060291","060291"
"02060299","060299"
"02060310","060310"
"02060390","060390"
"02060410","060410"
"02060491","060491"
"02060499","060499"
"02070110","070110"
"02070190","070190"
"02070200","070200"
"02070310","070310"
"02070320","070320"
"02070390","070390"
"02070410","070410"
"02070420","070420"
"02070490","070490"
"02070511","070511"
"02070519","070519"
"02070521","070521"
"02070529","070529"
"02070610","070610"
"02070690","070690"
"02070700","070700"
"02070810","070810"
"02070820","070820"
"02070890","070890"
"02070910","070910"
"02070920","070920"
"02070930","070930"
"02070940","070940"
"02070951","070951"
"02070952","070952"
"02070960","070960"
"02070970","070970"
"02070990","070990"
"02071010","071010"
"02071021","071021"
"02071022","071022"
"02071029","071029"
"02071030","071030"
"02071040","071040"
"02071080","071080"
"02071090","071090"
"02071110","071110"
"02071120","071120"
"02071130","071130"
"02071140","071140"
"02071190","071190"
"02071210","071210"
"02071220","071220"
"02071230","071230"
"02071290","071290"
"02071310","071310"
"02071320","071320"
"02071331","071331"
"02071332","071332"
"02071333","071333"
"02071339","071339"
"02071340","071340"
"02071350","071350"
"02071390","071390"
"02071410","071410"
"02071420","071420"
"02071490","071490"
"02080110","080110"
"02080120","080120"
"02080130","080130"
"02080211","080211"
"02080212","080212"
"02080221","080221"
"02080222","080222"
"02080231","080231"
"02080232","080232"
"02080240","080240"
"02080250","080250"
"02080290","080290"
"02080300","080300"
"02080410","080410"
"02080420","080420"
"02080430","080430"
"02080440","080440"
"02080450","080450"
"02080510","080510"
"02080520","080520"
"02080530","080530"
"02080540","080540"
"02080590","080590"
"02080610","080610"
"02080620","080620"
